Date,US_dollar,Euro,Japanese_yen,Canadian_dollar,Indian_rupee,Chinese_renmimbi,Indonesian_rupiah,UAE_dirham,Thai_baht,Vietnamese_dong,Egyptian_pound,Korean_won,Russian_ruble,SouthAfrican_rand,Australian_dollar
12/29/1978,226,137.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/1/1979,226,137.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/2/1979,226.8,137.3,"43,164.90",263.7,"1,792.90",#N/A,"138,160.50",851.3,"4,454.60",#N/A,#N/A,"107,470.00",#N/A,194.6,193.6
1/3/1979,218.6,134,"43,717.90",264.4,"1,802.20",#N/A,"138,877.00",855.7,"4,477.70",#N/A,#N/A,"108,027.40",#N/A,192.2,193
1/4/1979,223.2,136.8,"43,674.90",264.1,"1,811.70",#N/A,"139,616.30",860.3,"4,501.50",#N/A,#N/A,"108,602.50",#N/A,193,194.6
1/5/1979,225.5,138.4,"44,582.50",268.4,"1,843.60",#N/A,"142,069.10",875.4,"4,580.60",#N/A,#N/A,"110,510.40",#N/A,196.4,197.9
1/8/1979,223.1,136.4,"44,436.20",269.5,"1,841.30",#N/A,"141,870.90",869.7,"4,574.20",#N/A,#N/A,"110,356.30",#N/A,197.2,197.9
1/9/1979,224,137.3,"44,045.60",266.3,"1,822.50",#N/A,"140,446.70",860.9,"4,528.30",#N/A,#N/A,"109,248.40",#N/A,195,195.9
1/10/1979,220.7,135.5,"43,366.40",261.8,"1,803.50",#N/A,"138,981.00",852,"4,481.00",#N/A,#N/A,"108,108.30",#N/A,192,192.7
1/11/1979,220.7,135.9,"43,770.60",262.5,"1,814.60",#N/A,"139,833.80",857.2,"4,508.50",#N/A,#N/A,"108,771.70",#N/A,192.4,193.8
1/12/1979,217.6,134.1,"42,837.10",257.2,"1,782.60",#N/A,"137,371.80",842.1,"4,429.10",#N/A,#N/A,"106,856.60",#N/A,187.1,189.8
